Name|Size|Speed|Pop|Minerals|Gas|Armor|HP|Shield|Ground Attack|G. DPS| Air Attack|A. DPS|Cooldown|Range|Attack Mod|Sight|Notes|Build Time|Abilities|Cargo|Bonus
Arbiter| L|| 4| 100| 350| 1| 200| 150| 10e|| 10e|| 45| 5| 1| 9| S| 160|||
Archon| L|| 4| 0 (100)| 0 (300)| 0| 10| 350| 30s|| 30s|| 20| 2| 3| 8|| 20|||
Carrier| L|| 6| 350| 250| 4| 300| 150| 6|| 6||| 8| 1| 11|| 140|||
Corsair| M|| 2| 150| 100| 1| 100| 80| 0|| 5es|| 8| 5| 1| 9| S| 40|||
Dark Archon| L|| 4| 0 (250)| 0 (200)| 1| 25| 200| 0|| 0||| 0| 0| 10| S| 20|||
Dark Templar| S|| 2| 125| 100| 1| 80| 40| 40|| 0|| 30| 1| 3| 7| C| 50|||
Dragoon| L|| 2| 125| 50| 1| 100| 80| 20e|| 20e|| 30| 4/6| 2| 8|| 50|||
High Templar| S|| 2| 50| 150| 0| 40| 40| 0|| 0||| 0| 0| 7| S| 50|||
Observer| S|| 1| 25| 75| 0| 40| 20| 0|| 0||| 0| 0| 9/11| D,C| 40|||
Photon Cannon| L|| 0| 150| 0| 0| 100| 100| 20|| 20|| 22| 7| 0| 11| D| 50|||
Probe| S|| 1| 50| 0| 0| 20| 20| 5|| 0|| 22| 1| 0| 8|| 20|||
Reaver| L|| 4| 200| 100| 0| 100| 80| 100s/125s|| 0|| 60| 8| 0| 10|| 70|||
Scout| L|| 3| 275| 125| 0| 150| 100| 8|| 28e|| 30/22| 4| 1/2| 8/10|| 80|||
Shuttle| L|| 2| 200| 0| 1| 80| 60| 0|| 0||| 0| 0| 8|| 60|||
Zealot| S|| 2| 100| 0| 1| 100| 60| 16|| 0|| 22| 1| 2| 7|| 40|||
