Name|Size|Speed|Pop|Minerals|Gas|Armor|HP|Shield|Ground Attack|G. DPS| Air Attack|A. DPS|Cooldown|Range|Attack Mod|Sight|Notes|Build Time|Abilities|Cargo|Bonus
Broodling| S|| 0| 0| 0| 0| 30| 4| 0|| 15|| 1| 1| 5| B|| 0|||
Cocoon| L|| 2| 0| 0| 0| 200| 0| 0|||| 0| 0| 4| B|| 0|||
Defiler| M|| 2| 50| 150| 1| 80| 0| 0|||| 0| 0| 10| B,S|| 50|||
Devourer| L|| 2| +150| +50| 2| 250| 0| 25e|| 100|| 6| 2| 10| B|| 40|||
Drone| S|| 1| 50| 0| 0| 40| 5| 0|| 22|| 1| 0| 7| B|| 20|||
Egg| L|| 0| 0| 0| 10| 200| 0| 0|||| 0| 0| 4| B|| 0|||
Guardian| L|| 2| +50| +100| 2| 150| 20| 0|| 30|| 8| 2| 11| B|| 40|||
Hydralisk| M|| 1| 75| 25| 0| 80| 10e| 10e|| 15|| 4/5| 1| 6| B|| 28|||
Infested Terran| S|| 1| 100| 50| 0| 60| 500es| 0|||| 1| 0| 5| B|| 40|||
Larva_(Unit)|Larva|| S| 0| 0| 0| 10| 25| 0|| 0||0| 0|4|B||20|||
Lurker| M|| 2| +50| +100| 1| 125| 20s| 0|| 37|| 6| 2| 8| B|| 40|||
Mutalisk| S|| 2| 100| 100| 0| 120| 9| 9|| 30|| 3| 1| 7| B|| 40|||
Overlord| L|| 0| 100| 0| 0| 200| 0| 0|||| 0| 0| 9/11| B,D|| 40|||
Queen| M|| 2| 100| 100| 0| 120| 0| 0|||| 0| 0| 10| B,S|| 50|||
Scourge| S|| 0.5| 12| 38| 0| 25| 0| 110|||| 1| 0| 5| B|| 30|||
Spore Colony| L|| 0| +50| 0| 0| 400| 0| 15|| 15|| 7| 0| 10| D|| 20|||
Sunken Colony| L|| 0| +50| 0| 2| 300| 40e| 0|| 32|| 7| 0| 10||| 20|||
Ultralisk| L|| 4| 200| 200| 1/3| 400| 20| 0|| 15|| 1| 3| 7| B|| 60|||
Zergling| S|| 0.5| 25| 0| 0| 35| 5| 0|| 8/6|| 1| 1| 5| B|| 28|||
