Name|Size|Speed|Pop|Minerals|Gas|Armor|HP|Shield|Ground Attack|G. DPS| Air Attack|A. DPS|Cooldown|Range|Attack Mod|Sight|Notes|! {{buildtimez}}|Abilities! Unit|Cargo|Bonus
Larva| || | | 15| 0.25| | 10| 25|| L,B|| | | | | | | ||
Drone| 1|| 50| 0| 17| 0.75| 1| 0 (+1)| 40|| L,B|| 5 (+0)| | | 3.3| | M| ||
Queen| 2|| 150| 0| 50| 1.75| 2| 1 (+1)| 175|| B,P|| 4 (+1) x2| 9 (+1)| | 8 (+2)| 9 (+1)| 5/7| P||
Zergling| 0.5|| 25| 0| 24| 0.75| 1| 0 (+1)| 35|| L,B|| 5 (+1)| | | 7.2 (+1.4), 8.5 (+1.7)| | M| ||
Baneling| 0.5|| 25| 25| 20| 0.75| 2| 0 (+1)| 30|| B|| 20 (+2)| | +15 (+2)L / +60 (+3)S| | | M| S||
Roach| 2|| 75| 25| 27| 1| 2| 1 (+1)| 145|| A,B|| 16 (+2)| | | 8 (+1)| | 4| ||
Hydralisk| 2|| 100| 50| 33| 1.25| 2| 0 (+1)| 80|| L,B|| 12 (+1)| 12 (+1)| | 16 (+1.3)| 16 (+1.3)| 5 (+1)| P||
Infestor| 2|| 100| 150| 50| 1.5| 2| 0 (+1)| 90|| A,B,P|| | | | | | | ||
Infested Terran| || | | 5| 0.75| | 0| 50|| L,B|| 8| 8| | 9.3| 9.3| 5| ||
Swarm Host| 3|| 200| 100| 40| 1.625| 4| 1 (+1)| 160|| A,B|| | | |" 27.9 (+2.3)<ref>With 2 Locust|Locusts.</ref>"| | | P||
Locust| || | | 5| 0.75| | 0 (+1)| 65|| L,B|| 12 (+1)| | | 14.0 (+1.2)| | 3| P||
Ultralisk| 6|| 300| 200| 55| 2| 8| 1 (+1) ((+2))| 500|| A,B,Ma|| 35 (+3)| | | 40.7 (+3.5)| | 1| S||
Overlord| || 100| 0| 25| | | 0 (+1)| 200|| A,B|| | | | | | | ||
Overseer| || 50| 50| 17| | | 1 (+1)| 200|| A,B|| | | | | | | ||
Changeling| || | | 1| 0.75| | 0| 5|| L,B|| | | | | | | ||
Mutalisk| 2|| 100| 100| 33| | | 0 (+1)| 120|| L,B|| 9 (+1)| 9 (+1)| | 5.9 (+0.7)| 5.9 (+0.7)| 3| B,P||
Corruptor| 2|| 150| 100| 40| | | 2 (+1)| 200|| A,B|| | 14 (+1)| +6 (+1)Ma| | 7.4 (+0.5)| 6| P||
Viper| 3|| 100| 200| 40| | | 1 (+1)| 150|| A,B,P|| | | | | | | ||
Brood Lord| 4|| 150| 150| 34| | | 1 (+1)| 225|| A,B,Ma|| 20 (+2)| | | 8 (+0.8)| | 9.5| ||
Broodling| || | | 1| 0.75| | 0 (+1)| 30|| L,B|| 4 (+1)| | | 6.2 (+1.5)| | M| ||
Spine Crawler| || 100| | 50| 2x2| | 2| 300|| A,B,S|| 25| | +5A| 13.5| | 7| ||
Spore Crawler| || 75| | 30| 2x2| | 1| 400|| A,B,S|| | 15| + 30 B| | 17.4| 7| P||
Nydus Worm| || 100| 100| 20| 3x3| | 1| 200|| A,B,S|| | | | | | | ||
